c_oficina,d_CP,c_cve_ciudad
1001,1001,1
1131,1131,1
1401,1401,1
2011,2011,2
2431,2431,2
2601,2601,2
3001,3001,3
3501,3501,3
3501,3501,4
3901,3901,3
4331,4331,4
4831,4831,4
5501,5501,5
6002,6002,6
6401,6401,6
7001,7001,7
7051,7051,7
7201,7201,7
7311,7311,7
7501,7501,7
7501,7501,10
7981,7981,7
8231,8231,8
9081,9081,9
9181,9181,9
9201,9201,9
9291,9291,9
9511,9511,9
9821,9821,9
10021,10021,10
10101,10101,10
10581,10581,10
10581,10581,
10701,10701,10
10901,10901,10
11411,11411,11
11591,11591,11
11801,11801,11
11801,11801,6
12001,12001,12
13011,13011,13
13221,13221,13
13611,13611,12
13611,13611,13
14091,14091,14
14201,14201,14
14391,14391,4
14391,14391,14
15001,15001,15
16001,16001,16
20001,20001,1
20001,20001,
20293,20293,1
20293,20293,
20401,20401,6
20401,20401,
20401,20401,9
20401,20401,8
20401,20401,7
20671,20671,3
20671,20671,
20671,20671,5
20801,20801,2
20801,20801,
20921,20921,
20921,20921,4
20999,20999,
21101,21101,2
21101,21101,
21105,21105,2
21401,21401,3
21401,21401,
21724,21724,
21851,21851,8
21851,21851,
21901,21901,
22001,22001,4
22101,22101,4
22701,22701,5
22701,22701,
22801,22801,
22801,22801,1
22801,22801,6
22901,22901,
22923,22923,
22935,22935,
23001,23001,2
23001,23001,
23001,23001,7
23331,23331,
23401,23401,
23401,23401,4
23452,23452,3
23502,23502,
23601,23601,
23601,23601,1
23702,23702,
23711,23711,6
23741,23741,
23881,23881,5
23881,23881,
23925,23925,8
23925,23925,
23925,23925,12
23925,23925,10
23925,23925,9
23941,23941,
23941,23941,11
24001,24001,
24001,24001,7
24003,24003,1
24003,24003,
24101,24101,2
24101,24101,
24331,24331,4
24331,24331,
24351,24351,
24351,24351,5
24401,24401,6
24401,24401,8
24401,24401,
24571,24571,
24801,24801,13
24801,24801,
24801,24801,9
24801,24801,11
24901,24901,3
24901,24901,
24901,24901,12
25001,25001,8
25001,25001,
25001,25001,23
25501,25501,19
25501,25501,
