id_asenta_cpcons,c_oficina
1,1001
5,1001
6,1001
9,1001
10,1001
12,1001
14,1001
16,1001
17,1001
18,1001
19,1001
22,1001
24,1001
25,1001
26,1001
28,1001
31,1131
33,1131
34,1131
36,1131
37,1131
39,1131
42,1131
44,1131
46,1131
47,1131
43,1131
52,1131
53,1131
56,1131
58,1131
59,1131
60,1131
63,1131
64,1131
66,1131
67,1131
68,1131
69,1131
74,1131
76,1131
77,1131
78,1131
79,1401
82,1401
84,1401
2681,1401
85,1401
86,1401
87,1401
89,1401
90,1401
92,1401
97,1401
98,1401
132,1401
224,1401
102,1401
103,1401
104,1401
105,1401
106,1401
107,1401
108,1401
109,1401
2845,1401
110,1401
112,1401
113,1401
114,1401
115,1401
117,1401
118,1401
120,1401
121,1401
123,1401
124,1401
125,1401
127,1401
131,1401
93,1401
133,1401
136,1401
138,1401
139,1401
140,1401
141,1401
144,1401
146,1401
147,1401
148,1401
152,1401
153,1401
154,1401
156,1401
160,1401
161,1401
163,1401
164,1401
168,1401
170,1401
171,1401
2682,1401
2683,1401
2864,1401
172,1401
176,1401
181,1401
184,1401
187,1401
188,1401
193,1401
194,1401
195,1401
196,1401
197,1401
198,1401
202,1401
204,1401
206,1401
207,1401
209,1401
211,1401
213,1401
2704,1401
221,1401
222,1401
223,1401
2636,1401
94,1401
225,1401
226,1401
227,1401
2841,1401
229,1401
232,1401
233,1401
2643,1401
238,1401
239,1401
240,1401
241,1401
2638,1401
243,1401
245,1401
246,1401
2849,1401
248,1401
249,1401
250,1401
251,1401
2747,1401
255,1401
259,1401
261,1401
263,1401
265,1401
2639,1401
267,1401
2745,1401
269,1401
268,1401
270,1401
271,1401
273,1401
2640,1401
275,1401
276,1401
277,1401
278,1401
279,1401
280,1401
281,1401
2844,1401
2848,1401
282,1001
283,1001
284,1001
285,1001
286,1001
287,1001
291,1001
292,1001
294,1001
295,1001
297,1001
298,1001
299,1001
300,1001
303,1001
304,1001
2842,1001
305,1001
306,1001
307,1001
308,1001
309,1001
310,1001
311,1001
315,1001
316,1001
318,1001
319,1001
323,1001
324,1001
325,1001
327,1001
328,1001
330,1001
332,1001
2843,1001
333,1001
334,1001
337,1001
2847,1001
341,1001
343,1001
344,1001
3,1001
345,1001
347,1001
2846,1001
353,2011
356,2011
357,2011
358,2011
360,2011
361,2011
362,2011
363,2011
364,2011
365,2011
368,2011
369,2011
371,2011
372,2011
374,2011
376,2011
377,2011
378,2011
379,2011
385,2011
389,2011
390,2011
391,2011
392,2011
393,2011
394,2011
396,2011
397,2011
398,2011
399,2011
400,2431
402,2601
404,2601
405,2601
406,2601
407,2601
409,2601
410,2431
412,2431
415,2431
418,2431
421,2431
422,2431
423,2431
425,2431
427,2431
428,2011
430,2011
431,2601
439,2011
441,2601
443,2601
2798,2601
444,2601
445,2601
446,2601
447,2601
448,2601
449,2431
451,2431
454,2431
456,2431
457,2431
459,2431
461,2431
462,2431
463,2431
464,2431
465,2431
466,2431
467,2601
469,2601
470,2601
473,2601
474,2601
476,2601
477,2601
478,2601
479,2601
480,2601
481,2601
482,2601
483,2601
484,2601
485,2601
486,2601
487,2601
488,2601
489,3001
491,3001
493,3001
2623,3001
496,3001
2624,3001
2621,3001
2622,3001
501,3001
505,3001
506,3001
507,3501
2625,3501
509,3501
512,3501
513,3501
515,3501
516,3501
518,3501
519,3501
521,3501
522,3501
523,3501
525,3501
526,3501
527,3501
528,3501
529,3501
530,3501
531,3501
532,3501
533,3501
534,3501
535,3501
536,3501
537,3501
538,3501
539,3501
540,3501
541,3901
542,3901
543,3901
544,3901
545,3901
546,3901
548,3901
552,3901
554,3901
556,3901
558,3901
559,3901
561,3901
562,3901
563,3501
566,3501
567,3501
569,3501
570,3501
571,3501
577,3501
578,3501
580,4831
582,4831
584,4831
586,4831
587,4831
590,4831
2807,4831
2808,4831
2831,4831
596,4831
601,4831
603,4831
606,4831
608,4831
612,4331
613,4331
614,4331
622,4831
632,4831
633,4831
636,4831
637,4831
638,4831
640,4831
641,4831
643,4831
644,4831
645,4831
646,4831
649,4831
651,4831
2810,4831
2811,4831
652,4831
653,4831
655,4831
2805,4831
657,4831
2809,4831
2812,4831
2815,4831
658,4831
659,4831
2813,4831
660,14391
2793,4831
664,4831
665,14391
669,14391
670,4831
671,4831
672,4831
673,4831
676,14391
677,14391
678,14391
680,14391
686,14391
687,14391
690,14391
691,4831
692,4831
695,4831
696,4831
697,4831
2806,4831
706,4831
708,4831
709,4831
711,4831
714,4831
715,4831
2814,4831
716,4831
717,4831
718,4831
719,4831
723,4831
724,4831
725,4831
726,4831
727,4831
728,4831
729,4831
730,4831
674,4831
731,4831
2792,4831
732,5501
735,5501
736,5501
737,5501
2867,5501
740,5501
746,5501
748,5501
751,5501
